loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LN100000,0,2018-08-01,2018-08-01,0,360,75000.0,75000.0,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2018-08-28 17:00:00,ServicingCore,Complete,0,0,0,0,Current,0,None
LN100000,1,2018-09-01,2018-08-01,1,359,75000.0,74918.68,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2018-09-06 22:00:00,ServicingCore,Pending,0,0,0,0,Current,0,None
LN100000,2,2018-10-01,2018-08-01,2,358,75000.0,74836.98,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2018-10-16 21:00:00,ServicingCore,Complete,0,0,0,0,Current,0,None
LN100000,3,2018-11-01,2018-08-01,3,357,75000.0,74754.9,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2018-11-03 23:00:00,ServicingCore,Complete,0,0,0,0,Current,0,None
LN100000,4,2018-12-01,2018-08-01,4,356,75000.0,74672.45,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2018-12-03 13:00:00,ServicingCore,Complete,0,0,0,0,Current,0,None
LN100000,5,2019-01-01,2018-08-01,5,355,75000.0,74589.61,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2019-01-26 08:00:00,ServicingCore,Complete,0,0,0,0,Current,0,None
LN100000,6,2019-02-01,2018-08-01,6,354,75000.0,74506.39,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2019-02-08 13:00:00,ServicingCore,Complete,0,0,0,0,Current,0,None
LN100000,7,2019-03-01,2018-08-01,7,353,75000.0,74422.78,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2019-03-22 19:00:00,ServicingCore,Pending,0,0,0,0,Current,0,None
LN100000,8,2019-04-01,2018-08-01,8,352,75000.0,74338.79,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Current,0,0,0,0,None,2019-04-05 19:00:00,LoanPlatform,Pending,0,0,1,0,Default,0,None
LN100000,9,2019-05-01,2018-08-01,9,351,75000.0,74254.41,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,Default,90,0,0,1,Medium,2019-05-09 18:00:00,LoanPlatform,Complete,0,0,1,0,Current,1,Severe Delinquency
LN100001,0,2023-06-01,2023-06-01,0,360,200707.94,200707.94,6.275,700-739,70-80,30-40,KS,Refinance,Primary Residence,Single Family,Servicer_A,Current,0,0,0,0,None,2023-06-14 20:00:00,LoanPlatform,Pending,0,0,0,0,Current,0,None
LN100001,1,2023-07-01,2023-06-01,1,359,200707.94,200518.42,6.275,700-739,70-80,30-40,KS,Refinance,Primary Residence,Single Family,Servicer_A,Current,0,0,0,0,None,2023-07-23 07:00:00,ServicingCore,Complete,1,1,0,0,Delinquent,0,None
LN100001,2,2023-08-01,2023-06-01,2,358,200707.94,200327.9,6.275,700-739,70-80,30-40,KS,Refinance,Primary Residence,Single Family,Servicer_A,Delinquent,30,0,0,0,None,2023-08-25 00:00:00,ServicingCore,Missing,1,1,0,0,Delinquent,1,Documentation Gap
