loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage
LN100000,2018-08-01,75000.0,5.55,620-659,80-90,0-20,CO,Refinance,Primary Residence,Condominium,Servicer_E,2018
LN100001,2023-06-01,200707.94,6.275,700-739,70-80,30-40,KS,Refinance,Primary Residence,Single Family,Servicer_A,2023
LN100002,2022-07-01,117126.04,6.045,620-659,60-70,30-40,VT,Purchase,Primary Residence,Single Family,Servicer_A,2022
LN100003,2021-01-01,219494.65,2.908,660-699,80-90,0-20,WY,Purchase,Primary Residence,Single Family,Servicer_E,2021
LN100004,2021-01-01,279939.1,2.475,740-779,0-60,0-20,FL,Purchase,Primary Residence,Condominium,Servicer_B,2021
LN100005,2024-01-01,414755.38,6.691,700-739,80-90,20-30,OR,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100006,2018-08-01,133675.57,4.469,780+,70-80,30-40,MT,Purchase,Primary Residence,Single Family,Servicer_D,2018
LN100007,2022-11-01,311455.91,5.043,660-699,0-60,30-40,NJ,Purchase,Primary Residence,Multi Unit,Servicer_C,2022
LN100008,2019-05-01,251986.43,2.995,740-779,0-60,30-40,MT,Purchase,Investment,Single Family,Servicer_B,2019
LN100009,2018-08-01,302654.24,4.78,700-739,80-90,20-30,UT,Purchase,Primary Residence,Single Family,Servicer_B,2018
LN100010,2021-09-01,187839.21,2.486,740-779,60-70,0-20,MN,Purchase,Primary Residence,Multi Unit,Servicer_B,2021
LN100011,2024-10-01,534956.4,6.339,740-779,80-90,20-30,NJ,Purchase,Primary Residence,Single Family,Servicer_A,2024
LN100012,2023-02-01,236165.11,7.168,700-739,80-90,0-20,ND,Purchase,Second Home,Single Family,Servicer_A,2023
LN100013,2023-04-01,663322.4,5.913,780+,80-90,30-40,NV,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100014,2023-01-01,161862.49,6.399,700-739,60-70,0-20,UT,Refinance,Investment,Single Family,Servicer_D,2023
