feature,importance_mean,importance_std
days_past_due,0.018400000000000017,0.0023323807579381226
month_index,0.0,0.0
remaining_term_months,0.0,0.0
loan_age_months,0.0,0.0
current_balance,0.0,0.0
interest_rate,0.0,0.0
credit_score_band,0.0,0.0
ltv_band,0.0,0.0
dti_band,0.0,0.0
state,0.0,0.0
loan_purpose,0.0,0.0
original_balance,0.0,0.0
occupancy_type,0.0,0.0
property_type,0.0,0.0
servicer_name,0.0,0.0
vintage,0.0,0.0
balance_ratio,0.0,0.0
fico_score_val,0.0,0.0
ltv_band_val,0.0,0.0
dti_band_val,0.0,0.0
is_purchase,0.0,0.0
is_primary_residence,0.0,0.0
days_past_due_lag_1,0.0,0.0
days_past_due_lag_2,0.0,0.0
days_past_due_max_3m,0.0,0.0
dpd_trend,0.0,0.0
modification_flag_cum,0.0,0.0
current_status_lag_1,0.0,0.0
