loan_age_months,exposure,default_hazard_rate,prepayment_hazard_rate,cumulative_survival_probability
1,1971,0.0106544901065449,0.005580923389142567,0.9837645865043125
2,1939,0.01186178442496132,0.0036101083032490976,0.9685438863521055
3,1909,0.00995285489785228,0.004714510214772132,0.954337899543379
4,1881,0.011695906432748537,0.009037745879851143,0.9345509893455098
5,1842,0.013572204125950055,0.008143322475570033,0.9142567224759005
6,1802,0.014428412874583796,0.003329633740288568,0.898021308980213
7,1770,0.014124293785310734,0.005649717514124294,0.8802638254693049
8,1735,0.008645533141210375,0.005187319884726225,0.8680872653475393
9,1711,0.015195791934541203,0.006428988895382817,0.8493150684931506
10,1674,0.014336917562724014,0.007168458781362007,0.8310502283105022
11,1638,0.015873015873015872,0.002442002442002442,0.8158295281582952
12,1608,0.012437810945273632,0.007462686567164179,0.7995941146626078
13,1576,0.011421319796954314,0.007614213197969543,0.7843734145104008
14,1546,0.01164294954721863,0.0071151358344113845,0.769660071029934
15,1517,0.007251153592617007,0.001977587343441002,0.7625570776255707
16,1503,0.011310711909514305,0.00332667997338656,0.7513952308472855
17,1481,0.01350438892640108,0.006076975016880486,0.7366818873668187
18,1452,0.010330578512396695,0.010330578512396695,0.7214611872146117
19,1422,0.01969057665260197,0.004219409282700422,0.7042110603754438
20,1388,0.013688760806916427,0.005043227665706052,0.6910197869101977
21,1351,0.006661732050333087,0.0051813471502590676,0.6828359848446439
22,1321,0.00757002271006813,0.006813020439061317,0.6730147254108452
23,1291,0.017041053446940357,0.010844306738962044,0.6542474673823476
24,1234,0.011345218800648298,0.006482982171799027,0.6425834120481405
25,1197,0.013366750208855471,0.007518796992481203,0.6291627058650131
26,1153,0.013876843018213356,0.006938421509106678,0.6160665177117084
27,1108,0.01263537906137184,0.009025270758122744,0.6027221166060396
28,1071,0.011204481792717087,0.01027077497665733,0.589778504391344
29,1035,0.010628019323671498,0.00966183574879227,0.5778119840123893
30,1004,0.01195219123505976,0.0099601593625498,0.5651507652392095
31,976,0.007172131147540984,0.010245901639344262,0.5553069506807397
32,948,0.015822784810126583,0.004219409282700422,0.5441773809941003
33,903,0.009966777408637873,0.006644518272425249,0.5351378896154607
34,874,0.011441647597254004,0.002288329519450801,0.5277904586367588
35,852,0.01056338028169014,0.008215962441314555,0.5178789007280872
36,828,0.00966183574879227,0.006038647342995169,0.5097479518036124
37,804,0.007462686567164179,0.006218905472636816,0.5027737882839113
38,784,0.006377551020408163,0.011479591836734694,0.49379568492169856
39,758,0.009234828496042216,0.00395778364116095,0.48728122997550205
40,736,0.009510869565217392,0.008152173913043478,0.47867436042430433
41,712,0.011235955056179775,0.012640449438202247,0.46724533777372407
42,684,0.011695906432748537,0.007309941520467836,0.45836494392714744
43,659,0.010622154779969651,0.007587253414264037,0.450018389561251
44,640,0.015625,0.0046875,0.4408773910232881
45,620,0.014516129032258065,0.004838709677419355,0.43234428022928895
46,596,0.013422818791946308,0.003355704697986577,0.42509018156772366
47,582,0.006872852233676976,0.005154639175257732,0.41997741306089537
48,563,0.008880994671403197,0.003552397868561279,0.41475566902639044
49,548,0.009124087591240875,0.009124087591240875,0.4071871349200694
50,532,0.009398496240601503,0.009398496240601503,0.3995332414065343
51,509,0.009823182711198428,0.005893909626719057,0.3932537405592803
52,494,0.008097165991902834,0.010121457489878543,0.38608919872722863
53,478,0.014644351464435146,0.0041841004184100415,0.37881973682650677
54,460,0.008695652173913044,0.008695652173913044,0.3722315674903936
55,440,0.015909090909090907,0.006818181818181818,0.3637717591383392
56,423,0.004728132387706856,0.01182033096926714,0.3577518955119364
57,409,0.014669926650366748,0.009779951100244499,0.3490049054016201
58,384,0.015625,0.010416666666666666,0.3399162359901196
59,369,0.008130081300813009,0.005420054200542005,0.33531032493334295
60,352,0.011363636363636364,0.008522727272727272,0.32864222188069125
