column,psi,status
state,0.016089322756203842,Stable
remaining_term_months,0.006098943021961976,Stable
interest_rate,0.00341855597057494,Stable
credit_score_band,0.0026803579060959734,Stable
property_type,0.0021693224451279735,Stable
dti_band,0.0013897473637800371,Stable
current_balance,0.0010448545892091504,Stable
ltv_band,0.0009970057807621954,Stable
original_balance,0.000908914787532946,Stable
servicer_name,0.0005770272595802719,Stable
occupancy_type,0.0005492114861750901,Stable
loan_age_months,0.0005006158966129179,Stable
month_index,0.0005006158966129179,Stable
document_status,0.00013442428464017204,Stable
loan_purpose,6.537570175462636e-05,Stable
current_status,6.21343399372837e-05,Stable
days_past_due,0.0,Stable
modification_flag,0.0,Stable
prepayment_flag,0.0,Stable
loss_severity_band,0.0,Stable
