loan_id,reporting_month,quality_score
LN100000,2018-08-01,100.0
LN100000,2018-09-01,100.0
LN100000,2018-10-01,100.0
LN100000,2018-11-01,100.0
LN100000,2018-12-01,100.0
LN100000,2019-01-01,100.0
LN100000,2019-02-01,100.0
LN100000,2019-03-01,100.0
LN100000,2019-04-01,100.0
LN100000,2019-05-01,95.0
LN100001,2023-06-01,100.0
LN100001,2023-07-01,100.0
LN100001,2023-08-01,100.0
LN100001,2023-09-01,100.0
LN100001,2023-10-01,100.0
LN100001,2023-11-01,100.0
LN100001,2023-12-01,100.0
LN100001,2024-01-01,100.0
LN100001,2024-02-01,100.0
LN100001,2024-03-01,100.0
LN100001,2024-04-01,100.0
LN100001,2024-05-01,100.0
LN100001,2024-06-01,100.0
LN100001,2024-07-01,100.0
LN100001,2024-08-01,100.0
LN100001,2024-09-01,100.0
LN100001,2024-10-01,100.0
LN100001,2024-11-01,100.0
LN100001,2024-12-01,100.0
LN100001,2025-01-01,100.0
LN100001,2025-02-01,100.0
LN100001,2025-03-01,100.0
LN100001,2025-04-01,100.0
LN100001,2025-05-01,100.0
LN100001,2025-06-01,100.0
LN100001,2025-07-01,100.0
LN100001,2025-08-01,100.0
LN100001,2025-09-01,100.0
LN100001,2025-10-01,100.0
LN100001,2025-11-01,100.0
LN100001,2025-12-01,100.0
LN100001,2026-01-01,100.0
LN100001,2026-02-01,100.0
LN100001,2026-03-01,100.0
LN100001,2026-04-01,100.0
LN100001,2026-05-01,100.0
LN100001,2026-06-01,100.0
LN100001,2026-07-01,100.0
LN100002,2022-07-01,100.0
LN100002,2022-08-01,100.0
LN100002,2022-09-01,100.0
LN100002,2022-10-01,100.0
LN100002,2022-11-01,100.0
LN100002,2022-12-01,100.0
LN100002,2023-01-01,100.0
LN100002,2023-02-01,100.0
LN100002,2023-03-01,100.0
LN100002,2023-04-01,100.0
LN100002,2023-05-01,100.0
LN100002,2023-06-01,100.0
LN100002,2023-07-01,100.0
LN100002,2023-08-01,100.0
LN100002,2023-09-01,100.0
LN100002,2023-10-01,100.0
LN100002,2023-11-01,100.0
LN100002,2023-12-01,100.0
LN100002,2024-01-01,100.0
LN100002,2024-02-01,100.0
LN100002,2024-03-01,100.0
LN100002,2024-04-01,100.0
LN100002,2024-05-01,100.0
LN100002,2024-06-01,95.0
LN100003,2021-01-01,100.0
LN100003,2021-02-01,100.0
LN100003,2021-03-01,100.0
LN100003,2021-04-01,100.0
LN100003,2021-05-01,75.0
LN100004,2021-01-01,100.0
LN100004,2021-02-01,100.0
LN100004,2021-03-01,100.0
LN100004,2021-04-01,100.0
LN100004,2021-05-01,100.0
LN100004,2021-06-01,100.0
LN100004,2021-07-01,100.0
LN100004,2021-08-01,100.0
LN100004,2021-09-01,100.0
LN100004,2021-10-01,100.0
LN100004,2021-11-01,100.0
LN100004,2021-12-01,100.0
LN100004,2022-01-01,100.0
LN100004,2022-02-01,100.0
LN100004,2022-03-01,100.0
LN100004,2022-04-01,100.0
LN100004,2022-05-01,100.0
LN100004,2022-06-01,100.0
LN100004,2022-07-01,100.0
LN100004,2022-08-01,100.0
LN100004,2022-09-01,100.0
LN100004,2022-10-01,100.0
LN100004,2022-11-01,100.0
LN100004,2022-12-01,100.0
LN100004,2023-01-01,100.0
LN100004,2023-02-01,100.0
LN100004,2023-03-01,100.0
LN100004,2023-04-01,100.0
LN100004,2023-05-01,100.0
LN100004,2023-06-01,100.0
LN100004,2023-07-01,100.0
LN100004,2023-08-01,100.0
LN100004,2023-09-01,100.0
LN100004,2023-10-01,100.0
LN100004,2023-11-01,100.0
LN100004,2023-12-01,100.0
LN100004,2024-01-01,100.0
LN100004,2024-02-01,100.0
LN100004,2024-03-01,100.0
LN100004,2024-04-01,100.0
LN100004,2024-05-01,100.0
LN100004,2024-06-01,100.0
LN100004,2024-07-01,100.0
LN100004,2024-08-01,100.0
LN100004,2024-09-01,100.0
LN100004,2024-10-01,100.0
LN100004,2024-11-01,100.0
LN100004,2024-12-01,100.0
LN100004,2025-01-01,100.0
LN100004,2025-02-01,100.0
LN100004,2025-03-01,100.0
LN100004,2025-04-01,100.0
LN100004,2025-05-01,100.0
LN100004,2025-06-01,100.0
LN100004,2025-07-01,100.0
LN100004,2025-08-01,100.0
LN100004,2025-09-01,100.0
LN100004,2025-10-01,80.0
LN100005,2024-01-01,100.0
LN100005,2024-02-01,100.0
LN100005,2024-03-01,100.0
LN100005,2024-04-01,95.0
LN100006,2018-08-01,95.0
LN100006,2018-09-01,100.0
LN100006,2018-10-01,100.0
LN100006,2018-11-01,100.0
LN100006,2018-12-01,95.0
LN100006,2019-01-01,100.0
LN100006,2019-02-01,100.0
LN100006,2019-03-01,95.0
LN100007,2022-11-01,100.0
LN100007,2022-12-01,100.0
LN100007,2023-01-01,100.0
LN100007,2023-02-01,100.0
LN100007,2023-03-01,100.0
LN100007,2023-04-01,100.0
LN100007,2023-05-01,100.0
LN100007,2023-06-01,100.0
LN100007,2023-07-01,100.0
LN100007,2023-08-01,100.0
LN100007,2023-09-01,100.0
LN100007,2023-10-01,100.0
LN100007,2023-11-01,100.0
LN100007,2023-12-01,100.0
LN100007,2024-01-01,100.0
LN100007,2024-02-01,100.0
LN100007,2024-03-01,100.0
LN100007,2024-04-01,100.0
LN100007,2024-05-01,100.0
LN100007,2024-06-01,100.0
