loan_id,reporting_month,rule_id,relationship,affected_columns,observed_values,severity,description
LN100000,2019-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100000;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100002,2024-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100002;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100003,2021-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100003;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100005,2024-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100005;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100006,2019-03-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100006;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100009,2024-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100009;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100014,2023-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100014;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100016,2023-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100016;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100019,2021-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100019;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100024,2024-10-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100024;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100025,2025-10-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100025;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100027,2026-03-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100027;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100030,2023-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100030;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100033,2022-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100033;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100034,2025-11-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100034;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100035,2020-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100035;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100038,2025-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100038;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100039,2024-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100039;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100043,2021-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100043;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100044,2019-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100044;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100045,2025-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100045;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100049,2024-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100049;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100051,2021-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100051;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100052,2023-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100052;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100053,2023-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100053;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100055,2019-11-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100055;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
